['(3.0517578125e-05,6.103515625e-05)', '(0.481475830078125,0.48150634765625)']
['(0,3.0517578125e-05)', '(0.48150634765625,0.481536865234375)']
['(0,3.0517578125e-05)', '(0.481536865234375,0.4815673828125)']
['(3.0517578125e-05,6.103515625e-05)', '(0.48150634765625,0.481536865234375)']
['(3.0517578125e-05,6.103515625e-05)', '(0.481536865234375,0.4815673828125)']
['(6.103515625e-05,9.1552734375e-05)', '(0.4814453125,0.481475830078125)']
['(6.103515625e-05,9.1552734375e-05)', '(0.481475830078125,0.48150634765625)']
['(9.1552734375e-05,0.0001220703125)', '(0.4814453125,0.481475830078125)']
['(9.1552734375e-05,0.0001220703125)', '(0.481475830078125,0.48150634765625)']
['(6.103515625e-05,9.1552734375e-05)', '(0.48150634765625,0.481536865234375)']
['(6.103515625e-05,9.1552734375e-05)', '(0.481536865234375,0.4815673828125)']
['(9.1552734375e-05,0.0001220703125)', '(0.48150634765625,0.481536865234375)']
['(9.1552734375e-05,0.0001220703125)', '(0.481536865234375,0.4815673828125)']
['(0,3.0517578125e-05)', '(0.4815673828125,0.481597900390625)']
['(0,3.0517578125e-05)', '(0.481597900390625,0.48162841796875)']
['(3.0517578125e-05,6.103515625e-05)', '(0.4815673828125,0.481597900390625)']
['(3.0517578125e-05,6.103515625e-05)', '(0.481597900390625,0.48162841796875)']
['(0,3.0517578125e-05)', '(0.48162841796875,0.481658935546875)']
['(0,3.0517578125e-05)', '(0.481658935546875,0.481689453125)']
['(3.0517578125e-05,6.103515625e-05)', '(0.48162841796875,0.481658935546875)']
['(3.0517578125e-05,6.103515625e-05)', '(0.481658935546875,0.481689453125)']
['(6.103515625e-05,9.1552734375e-05)', '(0.4815673828125,0.481597900390625)']
['(6.103515625e-05,9.1552734375e-05)', '(0.481597900390625,0.48162841796875)']
['(9.1552734375e-05,0.0001220703125)', '(0.4815673828125,0.481597900390625)']
['(9.1552734375e-05,0.0001220703125)', '(0.481597900390625,0.48162841796875)']
['(6.103515625e-05,9.1552734375e-05)', '(0.48162841796875,0.481658935546875)']
['(6.103515625e-05,9.1552734375e-05)', '(0.481658935546875,0.481689453125)']
['(9.1552734375e-05,0.0001220703125)', '(0.48162841796875,0.481658935546875)']
['(9.1552734375e-05,0.0001220703125)', '(0.481658935546875,0.481689453125)']
['(0.0001220703125,0.000152587890625)', '(0.4814453125,0.481475830078125)']
['(0.0001220703125,0.000152587890625)', '(0.481475830078125,0.48150634765625)']
